Zipcode  Duration (s)  Distance
Time: 10-20-2014 21:00:00
08822  3917  74.667
19095  6133  136.07
08889  2720  57.917
18947  5172  99.955
08825  4182  85.82
07936  2103  31.919
08886  3622  86.568
07901  1305  12.88
07073  2325  34.871
08046  4773  104.272
08865  4089  91.812
07712  3528  63.95
08820  1768  19.719
08876  3152  58.307
08807  2875  51.02
08902  2753  44.841
18976  6226  132.262
07030  2275  29.451
07652  2685  41.319
18015  5233  114.788
08833  3079  60.946
24401  21250  588.304
07066  1076  10.457
19446  6667  143.582
08853  3286  64.57
08873  3133  49.872
18944  6416  120.779
08502  3840  68.57
08831  3221  57.759
10306  3378  29.569
18013  4839  108.768
18902  5751  109.07
07090  766  6.298
08551  4129  81.945
07014  2118  29.627
08844  4655  67.154
07065  1380  12.244
07830  3374  63.405
08827  3763  75.776
07920  2475  39.119
02760  14727  346.344
07730  2488  40.844
07746  2785  48.282
08840  1727  19.882
19438  7078  159.832
07022  2692  36.935
07080  2262  22.758
07092  958  8.51
07005  2700  44.524
07662  2499  37.045
08812  1996  21.725
07747  2445  36.518
18045  5204  111.148
07853  4004  72.423
08801  3300  65.964
07832  5150  103.61
18210  6992  162.604
07023  1259  10.293
07677  3286  52.303
48108  35417  975.548
07016  543  3.394
07825  4023  93.477
08837  1943  24.03
08060  4678  100.689
18040  5313  101.89
07928  1714  22.604
19382  8221  180.985
07083  760  5.827
08724  4236  82.664
07010  2758  39.605
08854  2369  38.108
19020  5010  110.065
07054  2314  37.74
07930  3279  51.849
18036  5574  127.629
07202  1388  9.062
07059  2201  34.583
07974  1732  23.863
18034  5420  124.101
07027  892  5.683
08826  4100  76.062
07821  3717  75.336
07042  1752  19.845
07823  4620  99.601
10977  3645  62.004
19422  6291  136.574
07960  2200  34.751
07860  4773  89.294
07036  1109  10.645
08802  3968  79.752
19075  6004  132.216
18020  5004  110.08
07306  1875  24.825
19355  7290  161.697
07826  5809  108.795
11374  3642  50.38
78852  109213  3160.716
19426  6848  152.008
08882  2527  39.346
10310  2595  20.395
07670  3504  48.782
07931  2852  52.313
07882  4420  85.028
07945  2757  43.79
07076  1103  9.053
98346  163458  4551.347
08512  3149  57.028
88546  119677  3486.916
07701  3229  55.633
07676  2942  48.281
08850  2466  39.694
07067  1582  18.932
07922  1699  23.74
07940  1918  23.625
08846  2397  25.971
18042  4703  99.644
18925  5750  107.189
08559  4419  85.295
18960  6487  144.994
18901  6030  109.974
18052  6297  131.029
18920  4728  92.758
08867  3845  76.085
07078  1333  18.099
08755  4850  96.099
07002  1625  24.28
18929  5869  111.724
10022  3139  40.405
17111  9931  255.615
08857  2712  39.102
07456  3442  70.037
38117  60207  1730.675
19403  6789  146.512
10001  2364  36.805
07840  3870  79.907
08809  3760  73.114
07063  1873  20.558
18343  4390  102.462
07753  3596  67.758
07924  2702  48.6
07463  3024  49.211
10993  4155  80.342
18103  5669  126.109
12060  10131  267.659
02043  16790  405.631
07438  3681  69.561
19116  5278  114.167
19002  5863  134.123
08501  3544  78.626
18054  6870  152.336
07436  3238  63.055
18938  4636  95.478
08050  5405  128.674
88013  119526  3394.146
08848  4287  87.93
08540  3811  60.749
18914  6186  116.882
07401  2774  52.866
07033  0  0
19130  6104  135.621
33067  69834  1981.64
08804  4253  84.058
07950  2581  38.698
08887  3081  65.37
07760  3458  58.571
07045  2249  44.938
08510  3684  73.684
08805  2397  27.297
07006  2139  33.36
07081  764  6.228
18017  4653  117.547
07095  1252  22.382
07110  1956  23.468
08550  3611  71.468
19468  7345  171.321
08721  5010  102.101
07720  3529  70.338
07302  1750  28.671
07675  3394  53.13
07728  3476  56.391
07082  2372  47.142
08536  3531  58.796
18074  7334  158.882
18106  5989  138.987
08085  6353  156.201
07863  4525  90.36
08836  2226  42.825
07432  2846  41.882
03825  19906  465.548
08108  5910  125.15
18039  4742  99.487
88221  111707  3167.038
08884  2853  40.795
07068  1607  27.803
07834  2443  43.735
27809  26386  704.153
08823  3008  50.861
18064  5013  117.706
18928  4984  99.762
19067  4136  93.307
07921  2931  53.089
19128  6450  140.423
07726  2968  51.717
08560  4818  85.326
07208  1004  8.747
07470  2327  37.897
08535  3195  68.169
88231  107269  3112.649
19473  7196  167.354
10954  2960  61.429
07876  3146  52.887
08075  5032  107.575
34232  67247  1876.298
08835  2830  33.888
08829  3036  67.117
07430  3245  62.386
07869  2638  46.6
07450  2619  46.339
08558  3745  62.176
30331  52943  1391.066
18051  6106  143.018
07105  1277  17.858
07666  2453  42.044
08534  4574  81.381
10950  4519  102.587
07946  1913  34.067
18055  5389  115.221
07044  1747  25.153
07070  1903  32.626
88201  108428  3067.255
07028  1319  19.028
18974  5651  123.129
07718  2754  49.184
07738  2604  51.307
66062  69866  1937.414
08859  1699  30.131
08810  2826  50.669
19464  7738  166.984
19465  7732  187.213
08858  2406  54.82
07828  3510  69.153
19106  5871  132.499
08742  4103  83.048
08542  3804  63.558
19135  5518  120.815
10016  2630  38.181
08016  4166  96.406
07731  3654  79.676
07751  2487  44.787
18062  6271  144.073
19444  5931  140.691
03253  21008  527.311
19428  5941  143.473
07422  4654  89.266
07871  3433  70.042
18031  6098  142.616
07001  1637  15.321
07836  3028  66.442
07040  1217  14.07
18964  6785  151.026
90293  156604  4480.602
07052  1322  21.248
13905  11351  284.713
08861  1473  23.222
18334  6265  145.88
18322  5880  135.575
07927  1963  31.513
78342  103986  2999.553
12010  11593  304.316
07060  1637  17.621
18337  5919  114.286
18301  5173  115.883
18977  4586  101.367
07003  1193  20.091
18072  5576  118.641
08816  2283  40.125
08901  1985  37.048
18104  5491  132.818
08817  1785  31.73
02482  15020  355.581
08824  2947  50.762
08648  3983  69.908
08619  3938  72.072
07934  2665  54.793
19118  5899  136.01
07206  1725  11.667
08869  2319  52.023
07086  1916  33.11
10075  3332  41.894
15102  23286  581.281
95051  163812  4724.979
07204  632  4.102
19038  5571  133.017
08730  3765  78.881
08003  5229  121.461
19401  6147  142.583
18932  6509  140.715
27587  27840  739.287
19440  6586  150.76
46032  42919  1141.132
94301  163318  4717.847
14770  20685  545.235
07062  1483  12.085
08062  6287  155.099
08527  4448  98.774
19031  5499  131.652
18360  5342  124.925
15044  22336  587.312
01070  14958  329.191
19136  5415  116.792
15003  24135  608.417
08034  4936  118.021
08520  3067  64.147
08638  4481  78.126
07069  1539  17.079
15084  22261  583.449
11510  5555  78.13
08852  2856  51.457
08054  4198  106.877
08035  5396  125.962
27807  27932  747.332
08863  1395  22.019
18940  5471  114.061
18969  6856  152.152
19025  4897  123.629
07039  1823  27.054
07417  2648  51.655
18067  5710  130.645
07878  2301  44.164
19504  6718  147.434
19085  5861  146.063
33331  70644  2017.395
98801  152105  4339.094
07932  1888  25.502
08691  3573  73.252
08872  1811  31.135
79780  109666  3208.153
18038  6402  139.723
10024  2565  40.484
08879  1663  28.831
08012  5670  135.395
07866  2687  52.28
07029  1244  18.269
08830  1108  16.836
18966  5265  116.937
88021  121340  3440.767
85342  134949  3932.741
19119  6235  139.438
22936  21419  528.631
18942  4946  99.393
07009  1945  27.468
22314  14327  357.883
07737  2930  51.674
19115  5184  116.983
08081  6277  139.057
19540  8546  202.187
60202  47348  1289.772
05465  22487  518.452
19087  6329  152.119
08052  4866  116.055
08225  7222  175.982
60611  46124  1267.145
19063  6842  166.182
10583  4008  72.369
07457  2795  57.257
10033  2586  47.499
20854  13890  357.188
07724  2682  58.435
07733  2348  48.824
07735  2170  40.227
28211  36577  993.003
07046  2311  42.534
01104  11221  263.895
10280  2552  33.382
08530  4578  91.647
07093  2171  34.606
07748  2536  46.834
07722  2965  58.234
07480  3717  73.23
10312  1942  32.071
07018  1027  13.074
07926  2456  40.461
18963  4700  95.606
08722  4450  100.59
07481  2594  48.655
07405  3067  62.606
10924  4850  117.556
18077  4833  101.076
02908  13720  323.611
08751  4968  108.261
75230  85697  2479.273
80129  99463  2881.465
92106  154983  4434.823
44026  26689  716.931
85340  135538  3893.948
92708  156035  4462.23
07663  1919  35.799
18930  5136  103.313
10597  5674  119.361
46060  43246  1148.771
10019  2405  36.756
19103  5994  135.601
07047  2149  33.401
19001  5602  125.952
07304  1745  28.336
07205  986  7.697
07980  1999  34.257
08525  4339  83.855
18972  4738  92.47
10028  3351  43.415
98117  160279  4524.959
08088  5739  124.25
18018  5387  122.712
07305  1767  27.37
88121  105706  2974.209
07444  2539  43.727
33624  64332  1786.651
07856  2892  59.963
19125  5835  129.522
15927  18879  481.274
08505  3946  88.148
10708  3358  63.316
07739  3017  57.608
04072  20673  518.728
14221  23117  617.04
19460  7120  166.194
08061  5895  145.72
19090  5105  122.002
14534  19651  515.587
07203  855  5.251
08880  2274  44.65
08690  3692  79.071
07307  1832  26.701
18088  6199  139.664
98052  159554  4513.59
18092  6248  138.182
07843  3362  66.036
08518  4056  92.333
08904  2132  30.264
07079  1403  12.924
14608  20165  529.804
08010  4940  104.045
07607  2126  39.196
07031  2157  28.745
94005  162405  4682.324
07961  1848  30.335
10014  2308  32.634
24592  28029  703.541
29926  45702  1270.724
07627  3453  51.929
19064  6646  161.427
07801  2707  52.872
20148  15001  388.706
15090  23001  610.636
08048  4771  105.169
85024  134769  3854.613
10010  2887  39.111
07981  2010  34.937
30309  51483  1364.081
33327  70757  2018.295
88263  112130  3260.215
07440  2381  41.226
07102  1360  17.19
18076  6876  151.198
07026  2059  34.896
39503  70461  2016.525
27712  28588  766.554
34105  72989  2003.054
27021  32990  920.35
24477  21807  602.165
07650  2256  39.45
21050  10493  264.554
19046  5932  123.943
85343  136613  3927.035
