Zipcode  Duration (s)  Distance
Time: 10-28-2014 22:30:00
08822  3975  60.11
19095  1734  23.034
08889  4802  74.263
18947  2621  36.902
08825  3673  53.151
07936  6685  123.837
08886  4628  94.691
07901  6591  120.5
07073  7073  162.647
08046  4133  60.943
08865  4431  91.674
07712  5860  132.279
08820  5980  131.833
08876  4753  77.562
08807  5170  82.99
08902  5354  95.836
18976  1774  19.24
07030  7144  159.705
07652  7990  157.931
18015  3240  54.608
08833  5149  78.927
24401  18394  506.992
07066  6006  135.683
19446  334  2.721
08853  4405  70.726
08873  5645  99.879
18951  2536  39.835
18944  2153  26.277
08502  5052  88.288
08831  5124  100.636
10306  6937  141.11
18013  5417  109.655
18902  2550  30.885
07090  6341  138.643
08551  3521  52.362
07014  7042  163.963
08844  5816  74.538
07065  6161  134.012
07830  6101  92.915
08827  5005  102.836
07920  5795  99.864
02760  19383  474.12
07730  6325  141.338
07746  5848  116.106
08840  5590  123.227
19438  1147  13.417
07022  7480  164.695
07080  5765  128.916
07092  6891  108.501
07005  6965  129.299
07662  7373  174.935
08812  5580  92.99
07747  6273  129.972
18045  3712  79.765
07853  6520  101.374
08801  4603  73.247
07832  7245  136.269
18210  5270  106.542
07023  6518  103.72
07677  8550  168.915
48108  33407  926.453
07016  6166  139.848
07825  6605  136.187
08837  5510  122.376
08060  4142  73.24
18040  4413  91.616
07928  6716  119.575
19382  3888  52.77
07083  6321  144.348
08724  5751  124.077
07010  7647  167.365
08854  5696  96.668
19020  2766  42.017
07054  6703  122.388
07930  6294  106.384
18036  2414  42.079
07202  5896  136.652
07059  6040  98.962
07974  6473  116.794
18034  2876  48.101
07027  6354  137.893
08826  5811  88.763
07821  7198  150.254
07042  7017  158.366
07823  5338  110.241
10977  8609  177.276
19422  728  8.249
07960  6127  111.178
07860  8101  154.653
07036  6054  139.803
08802  4763  95.579
19075  1620  19.18
18020  3674  76.583
07306  6718  156.45
19355  2628  33.482
07826  9310  192.677
11374  8041  179.939
78852  106578  3079.404
19426  1396  17.644
08882  5422  115.54
10310  6599  146.227
19462  1371  14.87
07670  7937  176.558
07931  5661  95.77
07882  5195  105.39
07945  6628  112.712
07076  6858  107.019
98346  160451  4502.252
08512  4840  85.747
88546  117720  3405.604
07701  6694  144.49
07676  8236  164.893
08850  5474  99.283
07067  5901  131.176
07922  6354  114.855
07940  6618  117.216
08846  5766  91.743
18042  4331  79.213
18925  2385  29.501
08559  3241  44.761
18960  1785  23.477
18901  1866  21.367
18052  3231  63.963
18920  3264  47.724
08867  4249  60.635
07078  6912  129.587
07803  7268  120.232
08755  5766  119.173
07002  6583  152.19
18929  2257  29.137
10022  8003  168.165
17111  7088  174.041
08857  5855  122.761
07456  7906  154.812
38117  57477  1649.363
19403  1011  13.249
10001  7233  164.565
07840  6799  127.822
08809  5171  106.615
07063  6105  98.048
18343  5698  115.384
07753  5842  128.951
07924  6095  101.899
07463  8218  159.731
10993  9539  195.614
18103  3029  62.535
12060  14965  361.756
02043  21491  533.407
07438  8070  154.336
19116  3125  43.56
19002  1178  12.927
08501  4171  81.276
18054  1703  22.721
07436  7313  147.83
18938  2448  34.181
08050  7113  140.993
88013  116772  3311.349
08848  3818  58.189
08540  4380  80.253
18914  1338  16.107
07401  8084  160.028
07033  6198  141.58
19130  2685  51.656
33067  67153  1893.098
08804  4824  91.674
07950  6988  123.473
08887  4278  66.182
07760  7254  151.201
07045  6750  129.713
08510  4522  94.484
08805  5490  88.922
07006  7274  132.9
07081  7137  111.078
18017  3414  70.797
07095  5443  125.262
07110  7236  165.602
08550  4249  74.649
19468  2564  30.839
08721  6474  151.686
07720  5885  128.506
07302  6767  156.581
07675  8715  169.742
07728  5177  105.001
07082  6867  131.917
08536  4431  80.206
18074  2074  27.148
18106  2980  55.884
08085  3627  74.158
07863  5923  116.08
08836  5826  92.773
07432  7959  159.048
03825  24582  593.324
08108  3448  64.161
18039  3638  58.097
88221  108840  3084.241
08884  5236  105.609
07068  7083  134.714
19454  867  8.468
07834  6799  128.51
27809  23403  615.611
08823  5149  90.183
18064  4177  86.323
18928  2193  29.897
19067  3188  52.526
07921  5541  84.591
19128  2249  24.127
07726  4910  101.908
10011  7656  166.143
08560  3702  64.379
07208  6422  143.607
07470  7644  144.71
08535  4616  94.497
88231  104931  3031.337
19473  1538  21.302
10954  8457  176.701
07876  6876  117.51
08075  4148  63.997
34232  64488  1787.756
08835  5525  85.635
08829  5112  79.785
07430  8047  156.704
07869  7191  131.375
07450  8421  161.984
08558  4352  68.032
30331  49758  1302.524
18051  3136  61.706
07105  6385  148.033
07666  7292  169.82
08534  3825  67.784
10950  9276  196.684
07946  6355  107.986
18055  3549  56.994
07044  7524  140.277
08753  6549  128.471
07070  6960  162.384
88201  105574  2984.458
07028  6918  157.549
18974  2152  27.43
07718  6867  149.678
07738  6447  124.074
66062  66346  1854.617
08859  5849  130.625
08810  4896  100.535
19464  2849  41.729
19465  3055  49.272
08858  5372  88.644
07828  7267  134.947
19106  3130  55.833
08742  6048  127.841
08542  4309  77.936
19135  3217  36.425
10016  7647  165.941
08016  3343  58.852
07731  5221  111.947
07751  5847  114.326
18062  3589  66.959
19444  1769  19.239
03253  25803  655.087
19428  1879  33.008
07422  9102  174.041
07871  7916  154.817
18031  3138  61.304
07001  6093  131.665
07836  6412  112.879
07040  6940  127.324
18964  1041  12.862
90293  153176  4397.805
07052  7180  138.129
13905  10235  264.16
08861  5525  125.179
18334  5812  137.001
18322  5123  107.899
07927  6511  115.623
78342  101357  2918.241
12010  16319  398.413
07060  6196  99.833
18337  8755  182.933
18301  5847  130.837
18977  3254  59.451
07003  6843  158.612
18072  4592  98.573
08816  5338  116.319
08901  5082  113.242
18104  2917  57.355
08817  5413  116.305
02482  19610  483.357
08824  4899  88.048
08648  3684  67.201
08619  3674  75.132
07934  5818  98.25
19118  1896  21.028
07206  6200  142.137
08869  4826  78.547
07086  6915  160.87
10075  8336  169.654
15102  19995  498.484
95051  160718  4675.884
07204  6230  141.237
19038  1617  19.981
08730  5881  127.651
08003  4064  73.235
19401  1212  12.527
18932  1197  11.57
27587  24966  650.745
19440  1108  11.718
46032  39159  1058.335
94301  160188  4668.752
14770  18820  451.89
07062  6314  102.346
08062  4204  84.792
08527  5125  105.765
19031  1260  15.996
18360  4864  111.925
15044  19183  504.515
01070  18824  424.358
19136  3528  52.089
15003  20793  525.62
08034  3685  68.617
08520  4326  85.607
08638  3676  63.043
07069  6181  101.042
15084  19093  500.652
11510  9204  198.209
08852  4592  85.118
08054  3791  79.428
08035  3612  68.016
27807  25095  658.79
08863  5305  120.896
18940  3076  40.696
18969  1303  16.893
19025  1996  23.27
07039  7170  128.137
07417  7592  152.22
18067  3884  75.414
07878  6790  128.939
19504  3224  50.923
19085  1802  35.598
33331  68267  1928.853
98801  150491  4289.999
07932  6716  118.717
08691  4088  78.238
08872  5610  117.822
79780  107004  3126.841
18038  4763  85.688
10024  7566  168.244
08879  5781  129.228
08012  3712  77.554
07866  7191  137.055
07029  6687  155.457
08830  5691  129.08
18966  2973  36.38
88021  118530  3357.97
85342  131928  3849.944
19119  2282  26.402
22936  18527  440.089
18942  2755  41.388
07009  7476  142.661
22314  11445  269.341
07737  7040  152.168
19115  2800  29.372
08081  4247  91.166
19540  4394  78.637
60202  45003  1240.677
05465  27196  612.549
19087  2344  24.756
08052  3661  69.034
08225  6439  146.765
60611  43703  1218.05
19063  2775  55.717
10583  8871  200.145
07457  7302  142.032
10033  7457  175.275
20854  11122  268.646
07724  6101  137.155
07733  6562  127.742
07735  6283  140.721
28211  33825  904.461
07046  6809  127.309
01104  15976  391.671
10280  7517  165.969
08530  3351  44.22
07093  7150  162.366
07748  6647  147.328
07722  5926  116.416
07480  8163  158.005
10312  5970  134.015
07018  6616  151.595
07926  6735  119.78
18963  2612  35.763
08722  6642  150.175
07481  7765  155.837
07405  7588  147.381
10924  9658  211.653
18077  3740  59.686
02908  18480  451.387
08751  7024  137.103
75230  83278  2397.961
80129  97565  2781.874
92106  152062  4352.026
44026  24704  667.836
85340  131697  3811.151
92708  152383  4379.433
07663  7458  176.687
18930  3393  51.191
10597  10775  247.697
46060  39472  1065.974
10019  7400  164.516
19103  2647  52.054
07047  7087  161.161
19001  1873  19.932
07304  6753  156.246
07205  6575  146.218
07980  6508  109.309
08525  3978  60.128
18972  3203  50.662
10028  8266  171.175
98117  157152  4475.864
08088  5446  104.907
18018  3572  70.858
07305  6781  155.28
88121  102204  2891.412
07444  7291  142.073
33624  61933  1698.109
07856  7257  126.341
19125  2947  57.477
15927  16298  414.128
08505  3377  59.005
10708  8231  191.092
07739  6716  145.311
04072  25413  646.504
14221  22062  596.487
19460  2199  28.1
08061  3749  80.456
19090  1721  18.058
14534  18583  495.034
07203  6238  138.961
08880  5592  93.409
08690  4046  72.635
07307  6941  160.911
18088  4092  78.315
98052  156440  4464.495
18092  2726  44.925
07843  7720  126.331
08518  3256  54.779
08904  5265  115.33
07079  7209  129.244
14608  19123  509.251
08010  4095  60.467
07607  7391  175.48
07031  7113  159.265
94005  158966  4633.229
07961  6299  113.936
10014  7364  162.888
24592  25113  614.999
29926  45157  1182.182
