Zipcode  Duration (s)  Distance
Time: 10-28-2014 22:30:00
08822  1144  15.674
19095  5245  86.637
08889  0  0
18947  3199  49.536
08825  1991  31.916
07936  2512  51.556
08886  1915  36.149
07901  2067  43.667
07073  3701  78.809
08046  4925  91.192
08865  2367  41.393
07712  4270  87.964
08820  2748  43.985
08876  512  6.723
08807  1420  17.107
08902  3270  48.468
18976  3848  61.223
07030  3638  73.389
07652  3839  85.65
18015  3070  64.369
08833  546  7.584
24401  19527  537.885
07066  3019  46.838
19446  4898  74.223
08853  1067  13.9
08873  2157  32.732
18951  3778  75.893
18944  4093  65.482
08502  2389  32.29
08831  3958  64.787
10306  3949  64.63
18013  3941  67.669
18902  3344  53.773
07090  2706  42.969
08551  1824  26.648
07014  3428  74.604
08844  2902  26.835
07065  3125  56.485
07830  1346  16.736
08827  1575  25.357
07920  1516  25.369
02760  16113  390.282
07730  3310  64.858
07746  3617  72.296
08840  2419  42.748
19438  5455  109.196
07022  4152  80.873
07080  2384  36.739
07092  2440  43.805
07005  2799  57.018
07662  3570  81.102
08812  1776  26.697
07747  3226  60.532
18045  2750  60.729
07853  2065  26.844
08801  1119  15.545
07832  4864  86.592
18210  5753  124.295
07023  2213  39.033
07677  4449  96.634
48108  34477  952.98
07016  2788  60.37
07825  3808  76.459
08837  2377  42.877
08060  4707  86.806
18040  3359  51.471
07928  2194  42.742
19382  7132  131.552
07083  2578  55.567
08724  4893  106.678
07010  4323  83.543
08854  1898  30.375
19020  4426  76.424
07054  2532  50.107
07930  2108  34.103
18036  3419  77.21
07202  3074  65.824
07059  1526  28.188
07974  1944  39.961
18034  3247  73.682
07027  2918  44.819
08826  2080  25.631
07821  3393  58.318
07042  3100  64.822
07823  2773  44.346
10977  4507  104.995
19422  4866  76.527
07960  1932  38.897
07860  4459  73.459
07036  3122  58.329
08802  1794  29.333
19075  5137  82.783
18020  2793  59.661
07306  3208  68.763
19355  6187  112.264
07826  6029  121.289
11374  5128  94.318
78852  107666  3110.297
19426  6036  90.23
08882  3067  44.821
10310  3907  71.077
19462  5327  88.245
07670  4588  92.72
07931  1460  23.489
07882  2399  34.609
07945  2460  40.431
07076  2613  42.332
98346  161609  4528.779
08512  3826  52.559
88546  118799  3436.497
07701  3968  79.647
07676  4191  92.612
08850  2951  43.321
07067  2943  50.883
07922  1786  38.022
07940  2470  44.935
08846  1986  25.45
18042  2582  49.225
18925  3362  51.892
08559  2023  29.998
18960  4455  94.575
18901  3645  54.677
18052  3763  80.61
18920  2703  42.339
